CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-1339532,JAK1 EC50(uM),0.00826,97.79,1.505,1.5047,1,8,4.0,0.52632,Class B,10.9,0.821,,,23.3,365.43
CM-1358326,JAK1 EC50(uM),0.0335,73.01,0.713,0.679,1,6,3.0,0.5,Class B,53.1,200.0,0.853,62.3,7.19,320.39
CM-1358686,JAK1 EC50(uM),0.0169,66.28,1.781,1.7807,1,6,3.0,0.52632,Class B,7.96,200.0,0.648,49.9,4.2,393.41
CM-1374174,JAK1 EC50(uM),0.00994,92.32,0.568,0.5676,1,8,4.0,0.36842,Class B,36.0,200.0,0.629,41.5,10.2,364.4
CM-1130450,JAK1 EC50(uM),0.104,46.5,2.468,2.4677,1,4,3.0,0.42857,Class B,13.6,57.8,,6.13,30.4,240.3
CM-1376222,JAK1 EC50(uM),0.0339,83.18,2.307,2.307,1,6,3.0,0.5,Class B,8.82,5.0,1.33,42.6,6.08,294.35
CM-1321728,JAK1 EC50(uM),0.0201,82.66,1.515,1.5145,1,6,3.0,0.52941,Class B,50.8,68.6,,35.1,5.77,308.38
CM-1320304,JAK1 EC50(uM),0.439,72.0,1.696,-1.0471,3,5,3.0,0.46667,Class B,1.08,26.9,,,7.01,323.32
CM-1370090,JAK1 EC50(uM),0.111,58.45,1.196,-1.8079,1,6,3.0,0.6,Class B,27.7,848.0,,,14.8,353.46
CM-1275182,JAK1 EC50(uM),0.0159,92.66,1.413,1.4133,2,7,3.0,0.55556,Class B,2.47,271.0,,36.0,2.5,373.47
CM-1253926,JAK1 EC50(uM),0.0443,93.32,-0.362,-0.393,1,8,3.0,0.47368,Class B,31.1,200.0,,,6.95,363.42
CM-1120263,JAK1 EC50(uM),0.626,58.87,1.534,1.5342,1,5,3.0,0.58824,Class B,38.6,,,,3.66,293.37
CM-1280072,JAK1 EC50(uM),0.0201,102.24,-0.303,-0.3029,1,8,3.0,0.63158,Class B,2.47,422.0,,,9.61,403.5
CM-1359481,JAK1 EC50(uM),0.0378,98.79,0.496,0.4938,1,8,4.0,0.38095,Class B,55.8,5.0,,,22.6,386.45
CM-1307509,JAK1 EC50(uM),0.0818,76.69,2.045,2.0448,1,7,4.0,0.5,Class B,13.1,340.0,,,117.0,361.44
CM-1177210,JAK1 EC50(uM),0.276,105.04,-0.415,-0.4153,2,8,3.0,0.5625,Class B,0.318,24.9,,5.7,2.5,360.43
CM-1359470,JAK1 EC50(uM),0.705,118.01,0.639,0.5707,2,9,2.0,0.65,Class B,61.8,200.0,,,2.5,431.55
CM-1119655,JAK1 EC50(uM),0.659,58.87,1.803,1.8032,1,5,3.0,0.58824,Class B,22.7,,,,51.4,293.37
CM-1370690,JAK1 EC50(uM),0.0403,102.42,1.304,1.2582,2,8,2.0,0.68421,Class B,34.6,21.3,,,29.5,407.53
CM-1347464,JAK1 EC50(uM),0.449,99.69,1.121,1.0754,2,8,3.0,0.38889,Class B,2.79,,,26.6,6.07,351.41
CM-1370354,JAK1 EC50(uM),0.258,78.75,-0.326,-0.3341,1,8,3.0,0.55,Class B,4.58,200.0,,,4.16,382.46
CM-1371181,JAK1 EC50(uM),0.203,75.1,2.221,0.7155,1,8,3.0,0.6087,Class B,21.7,184.0,,,19.7,423.55
CM-1348117,JAK1 EC50(uM),0.545,82.87,1.552,1.0283,2,7,3.0,0.47059,Class B,0.437,197.0,,,23.0,326.4
CM-1165803,JAK1 EC50(uM),0.0944,82.42,-0.411,-0.4109,1,8,3.0,0.52941,Class B,,,,,,339.39
CM-1273995,JAK1 EC50(uM),0.0107,112.38,2.034,2.0308,3,8,4.0,0.44,Class B,34.4,462.0,,,2.5,479.59
CM-1131088,JAK1 EC50(uM),0.0473,106.07,2.156,2.1559,3,7,4.0,0.26316,Class B,56.0,,,,12.3,343.39
CM-1326602,JAK1 EC50(uM),0.6,92.15,2.231,2.2303,2,7,3.0,0.6,Class B,10.6,1.2,,,6.37,453.48
CM-1383737,JAK1 EC50(uM),0.169,91.15,2.37,2.3237,1,8,3.0,0.5,Class B,42.8,141.0,,,9.32,382.46
CM-1382234,JAK1 EC50(uM),0.0768,91.15,2.992,2.9459,1,8,3.0,0.52381,Class B,31.4,102.0,,,11.2,396.49
CM-1705413,JAK1 EC50(uM),0.105,78.31,0.846,0.8265,2,7,3.0,0.47059,Class B,28.2,611.0,,,4.48,380.37
CM-1339640,JAK1 EC50(uM),0.017,71.34,1.516,1.4038,1,7,4.0,0.47619,Class B,7.57,105.0,,,11.3,408.52
CM-1281255,JAK1 EC50(uM),0.0588,77.33,0.682,0.6816,1,7,3.0,0.5625,Class B,8.25,64.8,,,4.27,313.35
CM-1178770,JAK1 EC50(uM),0.0857,45.98,1.926,1.7809,1,4,3.0,0.42857,Class B,38.9,56.7,0.276,3.31,81.7,240.3
CM-1233020,JAK1 EC50(uM),0.0232,90.07,-0.127,-0.1345,1,7,3.0,0.41176,Class B,5.53,554.0,,36.6,11.6,322.36
CM-1290753,JAK1 EC50(uM),0.0414,79.09,1.593,1.5927,2,6,3.0,0.61111,Class B,49.5,293.0,,27.2,8.26,327.42
CM-1355382,JAK1 EC50(uM),0.0321,78.31,-0.087,-0.0872,2,7,3.0,0.4375,Class B,1.53,200.0,0.862,63.8,12.6,348.35
CM-1375908,JAK1 EC50(uM),0.166,58.01,-0.053,-3.0691,2,5,3.0,0.38462,Class B,4.45,478.0,,,2.5,241.29
CM-1376202,JAK1 EC50(uM),0.166,78.31,-0.352,-0.3526,2,7,3.0,0.4375,Class B,9.21,200.0,0.405,22.3,2.5,330.36
CM-1327378,JAK1 EC50(uM),0.31,67.24,0.617,-0.5695,2,6,3.0,0.52941,Class B,18.3,447.0,,,4.23,311.38
CM-1278326,JAK1 EC50(uM),0.348,77.33,1.279,1.2788,1,7,3.0,0.65,Class B,8.54,72.9,,,2.5,369.46
CM-1240989,JAK1 EC50(uM),0.0421,83.18,2.479,2.4792,1,6,3.0,0.41176,Class B,11.3,542.0,,1.03,250.0,306.37
CM-1181485,JAK1 EC50(uM),0.308,120.47,-0.152,-0.152,2,9,4.0,0.29412,Class B,5.63,4.56,0.0284,2.53,3.13,345.36
CM-1180248,JAK1 EC50(uM),0.0122,92.15,0.967,0.8574,2,7,3.0,0.57895,Class B,9.08,12.4,0.691,15.9,12.4,385.48
CM-1351446,JAK1 EC50(uM),0.0489,78.75,-0.548,-0.5484,1,8,3.0,0.5,Class B,3.39,172.0,1.63,73.4,13.9,354.41
CM-1347460,JAK1 EC50(uM),0.0348,75.1,2.101,2.0153,1,8,3.0,0.57143,Class B,8.84,126.0,0.802,37.7,4.15,395.5
CM-1704722,JAK1 EC50(uM),0.0457,103.87,0.742,0.63,2,8,3.0,0.4,Class B,37.3,42.0,,,,378.47
CM-1348118,JAK1 EC50(uM),0.152,82.62,1.605,0.2157,2,7,3.0,0.44444,Class B,3.36,189.0,,,3.36,337.42
CM-1246261,JAK1 EC50(uM),0.144,91.21,0.609,0.6093,2,8,3.0,0.6,Class B,,603.0,,,,379.46
CM-1355770,JAK1 EC50(uM),0.502,83.79,0.384,-0.9556,2,7,4.0,0.36842,Class B,0.0867,200.0,,,2.5,347.42
CM-1703506,JAK1 EC50(uM),0.0988,118.01,-0.652,-0.8471,2,9,2.0,0.53333,Class B,16.5,303.0,,,,361.42
CM-1269477,JAK1 EC50(uM),0.00437,92.15,0.427,0.427,2,7,3.0,0.52941,Class B,1.08,200.0,0.706,45.9,5.26,359.45
